source,source_id,category_title,category_alias
yelp,A1VeLdTlPeY40-_68bcXUw,American,tradamerican
yelp,m66iFIV1UXCUY82sn_Ubgg,Pizza,pizza
yelp,m66iFIV1UXCUY82sn_Ubgg,Italian,italian
yelp,QPCThOSMR94LqeWNzyAalA,Breakfast & Brunch,breakfast_brunch
yelp,QPCThOSMR94LqeWNzyAalA,Cafes,cafes
yelp,QPCThOSMR94LqeWNzyAalA,American,tradamerican
yelp,x5oD1-3lEbL0BXW6qRDZRQ,Coffee & Tea,coffee
yelp,x5oD1-3lEbL0BXW6qRDZRQ,Bakeries,bakeries
yelp,x5oD1-3lEbL0BXW6qRDZRQ,Breakfast & Brunch,breakfast_brunch
yelp,3Jmn-j417jC4McG0xoJTwA,Salad,salad
yelp,3Jmn-j417jC4McG0xoJTwA,Mediterranean,mediterranean
yelp,3Jmn-j417jC4McG0xoJTwA,Greek,greek
yelp,DsAQyY00TqqP2zZkMVkRMQ,Diners,diners
yelp,DsAQyY00TqqP2zZkMVkRMQ,American,tradamerican
yelp,DsAQyY00TqqP2zZkMVkRMQ,Breakfast & Brunch,breakfast_brunch
yelp,4mliCHzBpAP4CSNplEQQGw,Pizza,pizza
yelp,4mliCHzBpAP4CSNplEQQGw,Italian,italian
yelp,4mliCHzBpAP4CSNplEQQGw,Salad,salad
yelp,oTBEIzQDE_BYxZtZbTBE8g,Southern,southern
yelp,oTBEIzQDE_BYxZtZbTBE8g,Sandwiches,sandwiches
yelp,oTBEIzQDE_BYxZtZbTBE8g,Chicken Shop,chickenshop
yelp,Aj-F_Pg3vERqjRM1tCfn6Q,Japanese,japanese
yelp,Aj-F_Pg3vERqjRM1tCfn6Q,Asian Fusion,asianfusion
yelp,Qj3bLY021R8Z87iA4GIR4w,Mexican,mexican
yelp,Qj3bLY021R8Z87iA4GIR4w,Seafood,seafood
yelp,Qj3bLY021R8Z87iA4GIR4w,Steakhouses,steak
yelp,J-O-ZWpIQxQf9usgGCMzwg,Vietnamese,vietnamese
yelp,-vD0CxKDZ2ux34GsS1P9eQ,Dominican,dominican
yelp,-vD0CxKDZ2ux34GsS1P9eQ,Latin American,latin
yelp,wLXfBALxXsVXnvQwKgDB1g,Gas Stations,servicestations
yelp,wLXfBALxXsVXnvQwKgDB1g,Convenience Stores,convenience
yelp,wLXfBALxXsVXnvQwKgDB1g,Fast Food,hotdogs
yelp,ahRdnWQ5TgbdZoB8H29kdw,Chinese,chinese
yelp,n4diWKcRvAFctwdRA6IPMg,Indian,indpak
yelp,n4diWKcRvAFctwdRA6IPMg,Buffets,buffets
yelp,n4diWKcRvAFctwdRA6IPMg,Halal,halal
yelp,PYp9fOYKtZOiQ3i8_uaT_A,Halal,halal
yelp,PYp9fOYKtZOiQ3i8_uaT_A,Burgers,burgers
yelp,PYp9fOYKtZOiQ3i8_uaT_A,Sandwiches,sandwiches
yelp,zjhDUTxDRj2j9GYIm3ppmQ,Waffles,waffles
yelp,pl2X239BqQASbaZn_hr_rQ,Pizza,pizza
yelp,aBpppwrcfqG91GTt3Q344Q,Mexican,mexican
yelp,aBpppwrcfqG91GTt3Q344Q,Bars,bars
yelp,w_jkSpTEgFdDMbK37qbVUw,Venezuelan,venezuelan
yelp,w_jkSpTEgFdDMbK37qbVUw,Food Trucks,foodtrucks
